date,average price,"
average temperature","
highest temperature","
Highest-lowest temperature","
choejeogion
lowest temperature","
Monthly precipitation","
highest humidity","
lowest humidity","
sunlight"
2018-03-14,2270,-0.95,3.58,8.47,-4.89,8.41,70.85,28.26,7.9
2018-03-15,2540,-0.76,3.76,8.46,-4.71,9.24,71.22,28.78,0
2018-03-16,2620,-0.65,3.87,8.47,-4.59,10.4,71.41,28.79,11
2018-03-17,2210,-0.55,4,8.53,-4.52,11.54,71.32,28.7,9.1
2018-03-18,2360,-0.44,4.11,8.51,-4.39,12.64,71.45,28.69,0
2018-03-19,2550,-0.33,4.19,8.45,-4.26,13.73,71.69,28.85,0
2018-03-20,2760,-0.26,4.26,8.44,-4.18,14.81,71.37,28.89,5.4
2018-03-21,2650,-0.23,4.27,8.39,-4.12,15.87,71.64,28.95,0.4
2018-03-22,2710,-0.16,4.36,8.41,-4.05,16.91,71.85,28.93,10.7
2018-03-23,3030,-0.09,4.46,8.44,-3.98,17.93,71.98,28.8,8.7
2018-03-24,3750,0,4.56,8.45,-3.89,18.93,72.14,28.93,7.2
2018-03-25,4040,0.12,4.71,8.49,-3.78,19.9,72.29,28.99,9.5
2018-03-26,4300,0.24,4.87,8.54,-3.68,20.85,72.58,29,9.1
2018-03-27,4230,0.39,5.04,8.59,-3.55,21.78,72.62,29.08,7.9
2018-03-28,4440,0.55,5.2,8.6,-3.4,22.68,72.76,29.23,5.2
2018-03-29,4810,0.72,5.38,8.61,-3.22,23.57,72.88,29.31,7.5
2018-03-30,5560,0.88,5.57,8.65,-3.08,24.43,72.94,29.26,9.9
2018-03-31,6890,1.02,5.73,8.67,-2.94,25.28,72.99,29.23,7.9
2018-04-01,6880,1.18,5.87,8.65,-2.78,25,73.1,29.46,1.3
2018-04-02,6710,1.36,6.07,8.65,-2.59,24.73,73.2,29.59,5.6
2018-04-03,6420,1.54,6.23,8.63,-2.4,24.47,73.44,29.81,0.8
2018-04-04,7270,1.67,6.36,8.63,-2.27,24.39,73.69,29.91,8
2018-04-05,8180,1.73,6.39,8.57,-2.18,24.38,73.93,30.23,0
2018-04-06,8490,1.78,6.41,8.53,-2.12,24.41,74.17,30.33,4
2018-04-07,8360,1.8,6.44,8.52,-2.08,24.45,74.28,30.2,9
2018-04-08,7340,1.83,6.45,8.5,-2.05,24.51,74.48,30.14,3.3
2018-04-09,7540,1.89,6.54,8.56,-2.02,24.6,74.71,30.05,9.5
2018-04-10,8940,2.02,6.69,8.63,-1.93,24.73,74.83,30.01,6.3
2018-04-11,11020,2.13,6.8,8.63,-1.83,24.91,74.94,29.91,11.8
2018-04-12,12120,2.24,6.92,8.67,-1.74,25.08,74.79,29.74,12
2018-04-13,15450,2.35,7.04,8.69,-1.65,25.25,74.42,29.57,2.7
2018-04-14,17460,2.42,7.12,8.68,-1.56,25.49,74.62,29.52,0.3
2018-04-15,19210,2.49,7.19,8.68,-1.49,25.81,74.72,29.68,8.6
2018-04-16,19730,2.57,7.3,8.73,-1.43,26.12,74.73,29.58,12.3
2018-04-17,22020,2.67,7.42,8.77,-1.35,26.43,74.6,29.5,12.2
2018-04-18,22560,2.76,7.53,8.81,-1.28,26.73,74.41,29.36,12
2018-04-19,22840,2.86,7.64,8.85,-1.2,27.03,74.28,29.23,11.4
2018-04-20,24350,3,7.81,8.91,-1.09,27.32,74.19,29.2,11.3
2018-04-21,23110,3.14,7.97,8.95,-0.97,27.6,74.16,29.01,12.4
2018-04-22,23420,3.26,8.09,8.96,-0.87,27.94,74.34,29.01,0
2018-04-23,21920,3.31,8.12,8.9,-0.78,28.61,74.53,29.5,0
2018-04-24,19690,3.39,8.19,8.88,-0.7,29.3,74.71,29.56,0
2018-04-25,16780,3.48,8.32,8.96,-0.64,30,74.64,29.46,12.4
2018-04-26,14580,3.58,8.44,8.99,-0.55,30.69,74.65,29.4,11.7
2018-04-27,13790,3.69,8.56,9.03,-0.46,31.36,74.61,29.38,11.3
2018-04-28,10600,3.79,8.67,9.04,-0.37,32.03,74.69,29.33,12.4
2018-04-29,8060,3.89,8.79,9.08,-0.29,32.68,74.63,29.27,11.6
2018-04-30,7270,4.01,8.93,9.1,-0.17,33.33,74.68,29.38,9.2
2018-05-01,5680,4.15,9.05,9.07,-0.02,33.05,74.77,29.61,3.2
2018-05-02,4950,4.25,9.13,9.08,0.05,32.84,74.94,29.98,0
2018-05-03,4660,4.3,9.18,9.07,0.11,32.64,75.05,30.11,8.2
2018-05-04,4320,4.38,9.27,9.09,0.18,32.46,74.99,30.06,12.4
2018-05-05,2540,4.49,9.39,9.12,0.27,32.27,74.9,30.04,11
2018-05-06,2120,4.58,9.48,9.09,0.39,32.22,75.08,30.28,3.2
2018-05-07,2300,4.7,9.61,9.11,0.49,32.35,75.17,30.24,7.1
2018-05-08,2290,4.8,9.71,9.13,0.58,32.48,75.16,30.29,11.3
2018-05-09,2340,4.88,9.8,9.16,0.65,32.6,75.09,30.29,12.6
2018-05-10,2410,4.96,9.89,9.16,0.73,32.72,75.17,30.4,12.3
2018-05-11,2370,5.05,9.98,9.16,0.82,32.84,75.25,30.44,5.3
2018-05-12,2590,5.12,10.03,9.13,0.9,33.1,75.42,30.59,0
2018-05-13,2610,5.2,10.1,9.11,0.99,33.61,75.59,30.82,6.9
2018-05-14,2580,5.29,10.21,9.14,1.07,34.1,75.74,30.93,7.2
2018-05-15,2310,5.42,10.35,9.17,1.17,34.59,75.8,30.93,8.9
2018-05-16,2010,5.54,10.45,9.13,1.33,35.25,75.96,31.15,0
2018-05-17,1920,5.66,10.55,9.09,1.45,36.25,76.12,31.51,0
2018-05-18,2360,5.74,10.61,9.08,1.53,37.27,76.28,31.76,0.4
2018-05-19,2210,5.82,10.71,9.12,1.59,38.33,76.28,31.76,12.7
2018-05-20,2080,5.9,10.8,9.13,1.67,39.37,76.08,31.69,4.2
2018-05-21,1950,5.97,10.87,9.14,1.73,40.39,76.04,31.63,8.8
2018-05-22,2450,6.06,10.96,9.13,1.83,41.44,76.19,31.75,2.7
2018-05-23,3270,6.14,11.04,9.13,1.91,42.52,76.34,31.71,12.7
2018-05-24,3520,6.22,11.13,9.15,1.98,43.63,76.28,31.66,12.5
2018-05-25,4210,6.31,11.24,9.18,2.06,44.73,76.29,31.59,12.1
2018-05-26,4970,6.42,11.36,9.22,2.14,45.81,76.29,31.56,12.6
2018-05-27,5630,6.51,11.45,9.21,2.24,46.87,76.21,31.55,4.7
2018-05-28,5260,6.62,11.57,9.23,2.34,47.92,76.14,31.57,12.5
2018-05-29,5210,6.72,11.67,9.22,2.45,48.96,76.25,31.7,3.4
2018-05-30,4640,6.81,11.75,9.21,2.54,50,76.33,31.72,9.8
2018-05-31,3860,6.9,11.86,9.24,2.62,51.02,76.38,31.74,12.9
2018-06-01,3920,7.01,11.98,9.26,2.72,50.68,76.39,31.73,12.9
2018-06-02,4100,7.12,12.1,9.29,2.81,50.35,76.36,31.65,12.8
2018-06-03,2960,7.23,12.22,9.32,2.9,50.03,76.31,31.57,12.9
2018-06-04,2770,7.33,12.32,9.31,3.01,49.7,76.27,31.54,9.2
2018-06-05,2910,7.43,12.43,9.33,3.1,49.39,76.28,31.54,11.4
2018-06-06,3280,7.53,12.52,9.33,3.2,49.07,76.31,31.62,12.7
2018-06-07,3500,7.62,12.63,9.34,3.29,48.76,76.41,31.65,9.4
2018-06-08,3850,7.71,12.72,9.34,3.39,48.45,76.47,31.75,7.1
2018-06-09,3630,7.81,12.83,9.35,3.48,48.15,76.52,31.77,7.9
2018-06-10,2950,7.9,12.91,9.33,3.58,47.85,76.53,31.86,1.4
2018-06-11,3310,7.97,12.97,9.31,3.66,47.58,76.64,31.94,3.3
2018-06-12,3870,8.05,13.06,9.32,3.74,47.34,76.74,31.99,12.1
2018-06-13,3510,8.14,13.15,9.31,3.83,47.11,76.75,32.08,4.9
2018-06-14,3270,8.22,13.22,9.29,3.92,47.04,76.87,32.22,1.4
